area,perimeter,diameter,circularity
0.0010227238794828153,0.11194142827452772,0.036264905600200334,1.0256202162501757
0.0037474991788348415,0.2229452998536794,0.06965554875313934,0.9474466585570863
0.008166860760249634,0.3294222472538902,0.10210747539593826,0.9457125757284564
0.000321000925677088,0.11202185792349727,0.06917440287835952,0.32144790982596333
0.0003433963390964197,0.1164516949277586,0.07066055301325722,0.31821005377810646
0.003874406521544388,0.22294529985367942,0.07037130148950319,0.9795315055600154
1.4930275612887814e-05,0.0,0.007727942963787406,inf
0.07193406790289349,0.9957200807271291,0.3033786144624095,0.9117377843489152
0.0433724506554391,0.7705113187839793,0.2353220087948208,0.9180488266643981
0.05733225835348921,0.8863167185404006,0.2710201119631114,0.9171302757703498
0.022163994147331962,0.5514299904121936,0.1684974272882249,0.915961303325103
7.465137806443907e-06,0.0,0.0007707507971963884,inf
1.4930275612887814e-05,0.0,0.00546448087431694,inf
7.465137806443907e-06,0.0,0.0007707507971963884,inf
0.02239541341933172,0.5514299904121935,0.16921233778629993,0.9255250623022262
0.05665293081310281,0.8847162091479776,0.26982794964474166,0.9095451820366581
7.465137806443907e-06,0.0,0.0007707507971963884,inf
0.031876138433515486,0.6611079565972509,0.20187523407385932,0.9164964776579483
0.014362925139598076,0.43816265674357135,0.1366655492075523,0.9401172867371499
0.013175968228373497,0.48844140060573904,0.17770743498817537,0.6940127787643567
0.6332004538803786,10.06085079468747,1.2756019596976473,0.0786107002382133
0.08855892979784408,1.1067239523062808,0.33623236801674283,0.9085809044988131
